time, x1, y1, z1, x2, y2, z2, x3, y3, z3, x4, y4, z4
0.70980, 0.01562, -0.10938, 0.92188, 0.04688, -0.08594, 0.89844, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.71034, 0.05469, -0.11719, 0.92188, 0.06250, -0.08594, 0.89062, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.71087, 0.03125, -0.11719, 0.89844, 0.02344, -0.07812, 0.88281, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.71143, 0.03125, -0.12500, 0.86719, 0.04688, -0.08594, 0.89844, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.71196, 0.03906, -0.10938, 0.92188, 0.03906, -0.07812, 0.85938, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.71252, 0.03125, -0.10156, 0.89844, 0.03906, -0.07031, 0.88281, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.71305, 0.04688, -0.11719, 0.85938, 0.04688, -0.07812, 0.88281, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.71359, 0.04688, -0.11719, 0.89844, 0.03906, -0.07812, 0.89062, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.71412, 0.04688, -0.12500, 0.89844, 0.03125, -0.08594, 0.88281, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.71474, 0.04688, -0.12500, 0.89062, 0.03906, -0.08594, 0.85156, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.71527, 0.02344, -0.11719, 0.92188, 0.03906, -0.10156, 0.91406, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.71580, 0.03906, -0.13281, 0.90625, 0.03906, -0.09375, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.71633, 0.03906, -0.13281, 0.91406, 0.05469, -0.08594, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.71687, 0.03125, -0.12500, 0.89062, 0.04688, -0.08594, 0.90625, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.71740, 0.03906, -0.12500, 0.89844, 0.03906, -0.08594, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.71796, 0.03906, -0.14062, 0.89062, 0.03906, -0.09375, 0.89844, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.71851, 0.03125, -0.11719, 0.88281, 0.05469, -0.07812, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.71905, 0.04688, -0.12500, 0.89844, 0.04688, -0.07812, 0.89062, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.71959, 0.03906, -0.11719, 0.89844, 0.03906, -0.07812, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
